DATE,year,month,DAY,date,starttime,endtime,endestimate,home,latitude,longitude,location,City ,State,opponents,Start Time,End Time,Attendence ,team name,season,Event Name,score,Win 
2015116,2015,11,06,20151106,201511061900,201511062100,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Southern New Hampshire,1900,2100,,Maryland Terrapins men's basketball team,exhibition,basketball,W 91-55,W
20151113,2015,11,13,20151113,201511131900,201511132100,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Mount St. Mary's,1900,2100,17950,Maryland Terrapins men's basketball team,regular,basketball,W 80-56,W
2015/11/17,2015,11,17,20151117,201511172100,201511172300,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Georgetown,2100,2300,17950,Maryland Terrapins men's basketball team,regular,basketball,W 75-71,W
2015/11/20,2015,11,20,20151120,201511201900,201511202100,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Rider,1900,2100,17950,Maryland Terrapins men's basketball team,regular,basketball,W 65-58,W
2015/11/24,2015,11,24,20151124,201511242030,201511242230,Y,N,,,"Hard Rock Hotel, Cancun, Mexico",Cancun,Mexico,Illinois State,2030,2230,982,Maryland Terrapins men's basketball team,regular,basketball,W 77-66,W
2015/11/25,2015,11,25,20151125,201511252030,201511252230,Y,N,,,"Hard Rock Hotel, Cancun, Mexico",Cancun,Mexico,Rhode Island,2030,2230,982,Maryland Terrapins men's basketball team,regular,basketball,W 86-63,W
2015/11/28,2015,11,28,20151128,201511282030,201511282230,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Cleveland State,2030,2230,17282,Maryland Terrapins men's basketball team,regular,basketball,W 80-63,W
2015/12/1,2015,12,01,20151201,201512012130,201512012330,Y,N,,,"Dean Smith Center, Chapel Hill,NC",Chapel Hill,North Carolina,North Carolina,2130,2330,21163,Maryland Terrapins men's basketball team,regular,basketball,L 81-89,L
2015/12/4,2015,12,04,20151204,201512041900,201512042100,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Saint Francis,1900,2100,17950,Maryland Terrapins men's basketball team,regular,basketball,W 96-55,W
2015/12/8,2015,12,08,20151208,201512082130,201512082330,Y,N,,,"Madison Square Garden, New York City, NY",New York City,New York,Connecticut,2130,2330,19812,Maryland Terrapins men's basketball team,regular,basketball,W 76-66,W
2015/12/12,2015,12,12,20151212,201512121615,201512121815,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Maryland Eastern Shore,1615,1815,17950,Maryland Terrapins men's basketball team,regular,basketball,W 77-56,W
2015/12/19,2015,12,19,20151219,201512191900,201512192100,Y,Y,39.288416,-76.618720,"Royal Farms Arena, Baltimore, MD",Baltimore,Maryland,Princeton,1900,2100,11076,Maryland Terrapins men's basketball team,regular,basketball,W 82-61,W
2015/12/27,2015,12,27,20151227,201512271600,201512271800,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Marshall,1600,1800,17950,Maryland Terrapins men's basketball team,regular,basketball,W 87-67,W
2015/12/30,2015,12,30,20151230,201512301700,201512301900,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Penn State,1700,1900,17950,Maryland Terrapins men's basketball team,Big Ten Season,basketball,W 70-64,W
2016/1/2,2016,1,02,20160102,201601022000,201601022200,Y,N,,,"Welsh-Ryan Arena, Evanston, IL",Evanston,Illinois ,Northwestern,2000,2200,8117,Maryland Terrapins men's basketball team,Big Ten Season,basketball,W 72-59,W
2016/1/6,2016,1,06,20160106,201601061900,201601062100,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Rutgers,1900,2100,17950,Maryland Terrapins men's basketball team,Big Ten Season,basketball,W 88-63,W
2016/1/9,2016,1,09,20160109,201601091300,201601091500,Y,N,,,"Kohl Center, Madison, WI",Madison,Wisconsin,Wisconsin,1300,1500,17287,Maryland Terrapins men's basketball team,Big Ten Season,basketball,W 63-60,W
2016/1/12,2016,1,12,20160112,201601122100,201601122300,Y,N,,,"Crisler Center, Ann Arbor, MI",Ann Arbor,Michigan,Michigan,2100,2300,12327,Maryland Terrapins men's basketball team,Big Ten Season,basketball,L 67-70,L
2016/1/16,2016,1,16,20160116,201601161200,201601161400,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Ohio State,1200,1400,17950,Maryland Terrapins men's basketball team,Big Ten Season,basketball,W 100-65,W
2016/1/19,2016,1,19,20160119,201601192000,201601192200,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Northwestern,2000,2200,17950,Maryland Terrapins men's basketball team,Big Ten Season,basketball,W 62-56,W
2016/1/23,2016,1,23,20160123,201601231830,201601232030,Y,N,,,"Breslin Center, East Lansing, MI",East Lansing,Michigan,Michigan State,1830,2030,14797,Maryland Terrapins men's basketball team,Big Ten Season,basketball,L 65-74,L
2016/1/28,2016,1,28,20160128,201601281900,201601282100,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,lowa,1900,2100,17950,Maryland Terrapins men's basketball team,Big Ten Season,basketball,W 74-68,W
2016/1/31,2016,1,31,20160131,201601311300,201601311500,Y,N,,,"Value City Arena, Columbus, OH",Columbus,Ohio,Ohio State,1300,1500,17950,Maryland Terrapins men's basketball team,Big Ten Season,basketball,W 66-61,W
2016/1/3,2016,1,03,20160103,201601032030,201601032230,Y,N,,,"Pinnacle Bank Arena, Lincoln, NE",Lincoln,Nebraska,Nebraska,2030,2230,16592,Maryland Terrapins men's basketball team,Big Ten Season,basketball,W 70-65,W
2016/1/6,2016,1,06,20160106,201601061600,201601061800,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Purdue,1600,1800,15693,Maryland Terrapins men's basketball team,Big Ten Season,basketball,W 72-61,W
2016/1/9,2016,1,09,20160109,201601091800,201601092000,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Bowie State,1800,2000,17950,Maryland Terrapins men's basketball team,Big Ten Season,basketball,W 93-62,W
2016/1/12,2016,1,12,20160112,201601121830,201601122030,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Wisconsin,1830,2030,17950,Maryland Terrapins men's basketball team,Big Ten Season,basketball,L 57-70,L
2016/1/18,2016,1,18,20160118,201601182000,201601182200,Y,N,,,"Williams Arena, Minneapolis, MN",Minneapolis,Minnestota,Minnestota,2000,2200,17950,Maryland Terrapins men's basketball team,Big Ten Season,basketball,L 63-68,L
2016/1/21,2016,1,21,20160121,201601211300,201601211500,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Michigan,1300,1500,10768,Maryland Terrapins men's basketball team,Big Ten Season,basketball,W 86-82,W
2016/1/27,2016,1,27,20160127,201601271600,201601271800,Y,N,,,"Mackey Arena, West Lafatette, IN",West Lafatette,Indiana,Purdue,1600,1800,17950,Maryland Terrapins men's basketball team,Big Ten Season,basketball,L 79-83,L
2016/3/3,2016,3,03,20160303,201603031900,201603032100,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Illinois,1900,2100,14846,Maryland Terrapins men's basketball team,Big Ten Season,basketball,W 81-55,W
2016/3/6,2016,3,06,20160306,201603061630,201603061830,Y,N,,,"Assembly Hall, Bloomington, IN",Bloomington,Indiana,Indiana,1630,1830,17950,Maryland Terrapins men's basketball team,Big Ten Season,basketball,L 62-80,L
2016/3/11,2016,3,11,20160311,201603110900,201603111100,Y,N,,,"Bankers Life Fieldhouse, Indianapolis, IN",Indianapolis,Indiana,Nebraska,0900,1100,17472,Maryland Terrapins men's basketball team,Big Ten Tournament,basketball,W 96-86,W
2016/3/12,2016,3,12,20160312,201603121530,201603121730,Y,N,,,"Bankers Life Fieldhouse, Indianapolis, IN",Indianapolis,Indiana,Michigan State,1530,1730,15942,Maryland Terrapins men's basketball team,Big Ten Tournament,basketball,L 61-64,L
2016/3/18,2016,3,18,20160318,201603181630,201603181830,Y,N,,,"Spokane Veterans Memorial Arena, Spokane, WA",Spokane,"Washinton, D.C.",Spokane Veterans Memorial Arena,1630,1830,18339,Maryland Terrapins men's basketball team,NCAA Tournament,basketball,W 79-74,W
2016/3/20,2016,3,20,20160320,201603201910,201603202110,Y,N,,,"Spokane Veterans Memorial Arena, Spokane, WA",Spokane,"Washinton, D.C.",Spokane Veterans Memorial Arena,1910,2110,11109,Maryland Terrapins men's basketball team,NCAA Tournament,basketball,W 73-60,W
2016/3/24,2016,3,24,20160324,201603242140,201603242340,Y,N,,,"KFC Yum! Center, Louisville, KY",Louisville,"Washinton, D.C.",KFC Yum! Center,2140,2340,11296,Maryland Terrapins men's basketball team,NCAA Tournament,basketball,L 63-79,L
2016/11/5,2016,11,05,20161105,201611051400,201611051600,Y,N,,,"xfinity Center, College Park, MD",College Park,Maryland,Catawba,1400,1600,19399,Maryland Terrapins men's basketball team,exhibition,basketball,W 95-61,W
2016/11/11,2016,11,11,20161111,201611111900,201611112100,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,American,1900,2100,17078,Maryland Terrapins men's basketball team,regular,basketball,W 62-56,W
2016/11/15,2016,11,15,20161115,201611151830,201611152030,Y,N,,,"Verizon Center, Washinton, D.C.",,"Washinton, D.C.",Georgetown,1830,2030,13145,Maryland Terrapins men's basketball team,regular,basketball,W 76-75,W
2016/11/17,2016,11,17,20161117,201611171900,201611172100,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,St. Mary's college,1900,2100,15779,Maryland Terrapins men's basketball team,regular,basketball,W 93-45,W
2016/11/20,2016,11,20,20161120,201611201400,201611201600,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Towson,1400,1600,16797,Maryland Terrapins men's basketball team,regular,basketball,W 71-66,W
2016/11/22,2016,11,22,20161122,201611221900,201611222100,Y,N,,,"Xfinity Center, College Park, MD",College Park,Maryland,Stony Brook,1900,2100,14950,Maryland Terrapins men's basketball team,regular,basketball,W 77-63,W
