City ,State,opponents,Start Time,End Time,Attendence ,team name,season,Event Name,score,Win 
Baltimore,Maryland,Chicago Mustangs,1935,2135,9442,Baltimore Blast,regular season,soccer,W 7-4,W
Baltimore,Maryland,Syracuse Silver Knights,1935,2135,4140,Baltimore Blast,regular season,soccer,W 6-0,W
Baltimore,Maryland,Waza Flo,1935,2135,3204,Baltimore Blast,regular season,soccer,W 11-1,W
Harrisbug,Pennsylvana,Harrisburg Heat,1405,1605,1973,Baltimore Blast,regular season,soccer,W 9-2,W
Baltimore,Maryland,San Diego Sockers,1935,2135,8953,Baltimore Blast,regular season,soccer,W 8-5,W
Syracuse,New York,Syracuse Silver Knights,1930,2130,1986,Baltimore Blast,regular season,soccer,W 5-2,W
Baltimore,Maryland,Harrisburg Heat,1935,2135,4611,Baltimore Blast,regular season,soccer,W 5-1,W
Harrisbug,Pennsylvana,Harrisburg Heat,1705,1905,1583,Baltimore Blast,regular season,soccer,W 8-3,W
Baltimore,Maryland,Syracuse Silver Knights,1905,2105,4021,Baltimore Blast,regular season,soccer,W 7-3,W
Baltimore,Maryland,Waza Flo,1935,2135,3921,Baltimore Blast,regular season,soccer,W 9-3,W
Baltimore,Maryland,Harrisburg Heat,1935,2135,6630,Baltimore Blast,regular season,soccer,W 6-4,W
Syracuse,New York,Syracuse Silver Knights,1300,1500,2948,Baltimore Blast,regular season,soccer,L 2-3,L
St. Charles,Missouri,St. Louis Ambush,1905,2105,5721,Baltimore Blast,regular season,soccer,W 6-1,W
Independence,Missouri,Missouri Comets,1505,1705,4101,Baltimore Blast,regular season,soccer,L 4-6,L
Hoffman Estates,Illinois ,Chicago Mustangs,1835,2035,3339,Baltimore Blast,regular season,soccer,W 10-5,W
Baltimore,Maryland,Missouri Comets,1935,2135,8121,Baltimore Blast,regular season,soccer,L 4-5,L
Baltimore,Maryland,Harrisburg Heat,1735,1935,7984,Baltimore Blast,regular season,soccer,W 9-0,W
St. Charles,Missouri,St. Louis Ambush,1935,2135,6719,Baltimore Blast,regular season,soccer,W 9-4,W
Independence,Missouri,Missouri Comets,1935,2135,5214,Baltimore Blast,regular season,soccer,L 4-5,L
Baltimore,Maryland,Syracuse Silver Knights,1935,2135,4041,Baltimore Blast,post season,soccer,W 6-5,W
Syracuse,New York,Syracuse Silver Knights,1605,1805,2042,Baltimore Blast,post season,soccer,W 6-4,W
Independence,Missouri,Missouri Comets,1905,2105,3011,Baltimore Blast,post season,soccer,W 4-3,W
Baltimore,Maryland,Missouri Comets,1905,2105,4102,Baltimore Blast,post season,soccer,W 4-0,W
Baltimore,Maryland,Soles de Sonora,1805,2005,7243,Baltimore Blast,post season,soccer,W 5-0,W
Mazatlán,Sinaloa,Soles de Sonora,2005,2205,8324,Baltimore Blast,post season,soccer,W 14-13,W
Harrisbug,Pennsylvana,Harrisburg Heat,1905,2140,1627,Baltimore Blast,regular,soccer,W 11-6,W
Baltimore,Maryland,Milwaukee Wave,1935,2135,7813,Baltimore Blast,regular,soccer,L 3-4,L
Baltimore,Maryland,Florida Tropics,1935,2130,4121,Baltimore Blast,regular,soccer,W 7-1,W
Lakeland,Florida,Florida Tropics,1904,2115,2134,Baltimore Blast,regular,soccer,W 5-1,W
Baltimore,Maryland,Florida Tropics,1935,2144,7450,Baltimore Blast,regular,soccer,W 7-0,W
Independence,Missouri,Kansas City Comets,1705,2118,3118,Baltimore Blast,regular,soccer,L 1-5,L
Allen,Texas,Dallas Sidekicks,1905,2118,1661,Baltimore Blast,regular,soccer,W 8-4,W
